id,longitude,latitude,zoom,heading,tilt,width,height
358,15.0090865,37.5237654,75.0,110.26,87.79,512.0,512.0
359,15.0090865,37.5237654,75.0,43.22,86.66,512.0,512.0
360,15.0092878,37.5237764,90.0,283.07,83.47,512.0,512.0
361,15.0092878,37.5237764,90.0,247.53,83.96,512.0,512.0
362,15.0092878,37.5237764,90.0,348.84,71.35,512.0,512.0
363,15.010026,37.5237022,75.0,259.07,82.69,512.0,512.0
364,15.0116589,37.5242367,75.0,244.17,78.2,512.0,512.0
365,15.0119894,37.5245742,75.0,131.78,81.43,512.0,512.0
366,15.0128254,37.5238211,75.0,260.85,75.31,512.0,512.0
367,15.0111694,37.5159521,75.0,143.33,75.24,512.0,512.0
368,15.0113113,37.5158298,51.9,116.64,80.4,512.0,512.0
369,15.0116032,37.5158546,48.9,314.58,83.85,512.0,512.0
370,15.0114072,37.5158127,75.0,24.1,75.05,512.0,512.0
371,15.0099776,37.5161983,48.9,280.13,92.06,512.0,512.0
372,15.0098627,37.516215,47.2,277.38,93.09,512.0,512.0
373,15.0096775,37.5156834,75.0,195.06,83.3,512.0,512.0
374,15.0096891,37.5155946,72.9,164.57,87.32,512.0,512.0
375,15.0096891,37.5155946,72.7,119.78,84.95,512.0,512.0
376,15.0098188,37.5154669,48.9,82.2,85.91,512.0,512.0
377,15.0102097,37.5156377,48.9,57.54,83.57,512.0,512.0
378,15.0104872,37.5157891,75.0,62.36,84.96,512.0,512.0
379,15.0086977,37.5152609,75.0,152.68,89.81,512.0,512.0
380,15.0086977,37.5152609,75.0,112.95,73.41,512.0,512.0
381,15.0086977,37.5152609,75.0,223.5,83.16,512.0,512.0
382,15.0088155,37.5146135,75.0,261.62,93.85,512.0,512.0
383,15.0081123,37.514634,75.0,281.59,86.27,512.0,512.0
384,15.007354,37.5146667,75.0,223.45,87.88,512.0,512.0
385,15.0065202,37.5147933,49.0,284.58,90.26,512.0,512.0
386,15.0065202,37.5147933,49.0,216.9,92.05,512.0,512.0
387,15.0063442,37.5148953,75.0,253.96,80.94,512.0,512.0
388,15.0058671,37.514819,48.9,283.44,83.68,512.0,512.0
389,15.0056878,37.5148501,75.0,255.3,83.86,512.0,512.0
390,15.0054779,37.5147148,47.3,349.69,89.11,512.0,512.0
391,15.0051963,37.515021,75.0,300.04,82.38,512.0,512.0
392,15.0050935,37.5150621,75.0,312.54,87.96,512.0,512.0
393,15.0048144,37.5152174,48.0,313.98,86.95,512.0,512.0
394,15.0043563,37.5155933,23.8,238.77,91.7,512.0,512.0
395,15.118773,37.5733722,38.7,355.3,86.41,512.0,512.0
396,15.1185156,37.573898,75.0,351.02,80.38,512.0,512.0
397,15.1181253,37.5746961,75.0,266.36,82.53,512.0,512.0
398,15.1194059,37.5752327,48.7,71.82,80.12,512.0,512.0
399,15.1198189,37.575388,75.0,69.17,79.37,512.0,512.0
400,15.1200458,37.5754539,75.0,98.26,87.01,512.0,512.0
401,15.1147644,37.5712657,75.0,117.96,73.62,512.0,512.0
402,15.1147343,37.5711783,51.0,25.65,84.87,512.0,512.0
403,15.1147343,37.5711783,51.0,194.8,85.2,512.0,512.0
404,15.114641,37.5707268,75.0,240.28,84.64,512.0,512.0
405,15.1146086,37.570771,75.0,221.72,80.7,512.0,512.0
406,15.1147014,37.5707361,75.0,111.85,82.67,512.0,512.0
407,15.1149372,37.5706732,75.0,294.49,84.43,512.0,512.0
408,15.1150472,37.5706472,75.0,150.6,80.06,512.0,512.0
409,15.1151601,37.5706243,75.0,107.19,78.28,512.0,512.0
410,15.1153943,37.5705796,75.0,181.36,81.59,512.0,512.0
411,15.112204,37.572731,75.0,245.38,83.55,512.0,512.0
412,15.1120062,37.5726656,75.0,232.16,80.9,512.0,512.0
413,15.1120062,37.5726656,75.0,297.42,77.11,512.0,512.0
